index	FPKM	status	genome
Garb_01G006410.1	170.995483	A	A
Garb_01G006420.1	7.990875	A	A
Garb_01G006430.1	0.974360	A	A
Garb_01G006440.1	0.0	A	A
Garb_01G006450.1	7.896457	A	A
Garb_01G006460.1	3.541210	A	A
Garb_01G006470.1	0.0	A	A
Garb_01G006480.1	1.542376	A	A
Garb_01G006490.1	32.090008	A	A
Garb_01G006500.1	68.024437	A	A
Garb_01G006510.1	1.627884	A	A
Garb_01G006520.1	16.059933	A	A
Garb_01G006530.1	7.994370	A	A
Garb_01G006540.1	35.714363	A	A
Garb_01G006550.1	19.666002	A	A
Garb_01G006560.1	21.505661	A	A
Garb_01G006570.1	3.957205	A	A
Garb_01G006580.1	0.0	A	A
Garb_01G006600.1	0.132353	A	A
Garb_01G006610.1	34.164997	A	A
Garb_01G006620.1	40.100330	A	A
Garb_01G006630.1	0.526058	A	A
Garb_01G006640.1	9.011294	A	A
Garb_01G006650.1	0.0	A	A
Garb_01G006660.1	0.0	A	A
Garb_01G006670.1	0.0	A	A
Garb_01G006680.1	2.536361	A	A
Garb_01G006690.1	0.467231	A	A
Garb_01G006700.1	71.052078	A	A
Garb_01G006710.1	1.643535	A	A
Garb_01G006720.1	2.757097	A	A
Garb_01G006730.1	41.291836	A	A
Garb_01G006740.1	4.615693	A	A
Garb_01G006750.1	11.565862	A	A
Garb_01G006760.1	0.217987	A	A
Garb_01G006770.1	30.872744	A	A
Garb_01G006780.1	0.268935	A	A
Garb_01G006790.1	0.285871	A	A
Garb_01G006800.1	0.000000	A	A
Garb_01G006810.1	18.669168	A	A
Garb_01G006820.1	1.561700	A	A
Garb_01G006830.1	149.179001	A	A
Garb_01G006840.1	0.278966	A	A
Garb_01G006850.1	7.623301	A	A
Garb_01G006860.1	0.496015	A	A
Garb_01G006870.1	5.871129	A	A
Garb_01G006880.1	0.224258	A	A
Garb_01G006890.1	0.0	A	A
Garb_01G006900.1	0.0	A	A
Garb_01G006910.1	1.793062	A	A
Garb_01G006920.1	2.535484	A	A
Garb_01G006930.1	0.0	B	A
Garb_01G006940.1	0.0	B	A
Garb_01G006950.1	12.122881	A	A
Garb_01G006960.1	6.966546	A	A
Garb_01G006970.1	0.0	A	A
Garb_01G006980.1	2.794239	A	A
Garb_01G006990.1	0.0	A	A
Garb_01G007000.1	9.926311	A	A
Garb_01G007010.1	9.657672	A	A
Garb_01G007020.1	0.0	A	A
Garb_01G007030.1	15.225468	A	A
Garb_01G007040.1	2.139654	A	A
Garb_01G007050.1	0.0	A	A
Garb_01G007060.1	0.0	A	A
Garb_01G007070.1	13.016557	A	A
Garb_01G007080.1	4.649802	A	A
Garb_01G007090.1	8.202911	A	A
Garb_01G007100.1	0.236475	A	A
Garb_01G007110.1	0.894433	A	A
Garb_01G007120.1	12.165751	A	A
Garb_01G007130.1	0.0	A	A
Garb_01G007140.1	0.0	A	A
Garb_01G007150.1	2.421789	A	A
Garb_01G007160.1	9.263393	A	A
Garb_01G007170.1	0.303956	A	A
Garb_01G007180.1	0.511611	A	A
Garb_01G007190.1	0.0	A	A
Garb_01G007200.1	12.731812	A	A
Garb_01G007210.1	0.0	A	A
Garb_01G007220.1	3.388037	A	A
Garb_01G007230.1	0.0	A	A
Garb_01G007240.1	0.0	A	A
Garb_01G007250.1	0.0	A	A
Garb_01G007260.1	8.366366	A	A
Garb_01G007270.1	20.453976	A	A
Garb_01G007280.1	4.044677	A	A
Garb_01G007290.1	1.124944	A	A
Garb_01G007300.1	111.677551	A	A
Garb_01G007310.1	0.000000	A	A
Garb_01G007320.1	0.000000	A	A
Garb_01G007330.1	19.982733	A	A
Garb_01G007340.1	12.506994	A	A
Garb_01G007350.1	0.000000	A	A
Garb_01G007360.1	0.921464	A	A
Garb_01G007370.1	0.136670	A	A
Garb_01G007380.1	19.142929	A	A
Garb_01G007390.1	2.347611	A	A
Garb_01G007400.1	0.882576	A	A
Garb_01G007410.1	6.669030	A	A
Garb_01G007420.1	13.354538	A	A
Garb_01G007430.1	0.859101	A	A
Garb_01G007440.1	0.635016	A	A
Garb_01G007450.1	2.369026	A	A
Garb_01G007460.1	8.859024	A	A
Garb_01G007470.1	0.0	A	A
Garb_01G007480.1	0.0	A	A
Garb_01G007490.1	0.0	A	A
Garb_01G007500.1	0.452316	A	A
Garb_01G007510.1	14.121807	A	A
Garb_01G007520.1	2.554898	A	A
Garb_01G007530.1	0.0	A	A
Garb_01G007540.1	3.341285	A	A
Garb_01G007550.1	10.450452	A	A
Garb_01G007560.1	12.399396	A	A
Garb_01G007570.1	0.000000	A	A
Garb_01G007580.1	4.904586	A	A
Garb_01G007590.1	0.0	A	A
Garb_01G007600.1	13.466414	B	A
Garb_01G007610.1	131.069092	A	A
Garb_01G007620.1	0.000000	A	A
Garb_01G007630.1	3.991945	A	A
Garb_01G007640.1	80.448364	A	A
Garb_01G007650.1	6.835767	A	A
Garb_01G007660.1	153.923492	A	A
Garb_01G007670.1	43.788433	A	A
Garb_01G007680.1	0.000000	A	A
Garb_01G007690.1	6.673546	A	A
Garb_01G007700.1	613.060974	A	A
Garb_01G007710.1	0.000000	A	A
Garb_01G007720.1	57.135658	A	A
Garb_01G007730.1	47.258068	A	A
Garb_01G007740.1	0.0	A	A
Garb_01G007750.1	0.0	A	A
Garb_01G007760.1	1.075870	A	A
Garb_01G007770.1	0.000000	A	A
Garb_01G007780.1	0.000000	A	A
Garb_01G007790.1	218.826889	A	A
Garb_01G007800.1	0.0	A	A
Garb_01G007810.1	0.0	A	A
Garb_01G007820.1	0.0	A	A
Garb_01G007830.1	1.732710	A	A
Garb_01G007840.1	0.000000	A	A
Garb_01G007850.1	1.425488	A	A
Garb_01G007860.1	0.065601	A	A
Garb_01G007870.1	75.690269	A	A
Garb_01G007880.1	3.161503	A	A
Garb_01G007890.1	3.713654	A	A
Garb_01G007900.1	0.0	A	A
Garb_01G007910.1	13.928131	A	A
Garb_01G007920.1	24.428816	A	A
Garb_01G007930.1	0.0	A	A
Garb_01G007940.1	16.054390	A	A
Garb_01G007950.1	8.384983	A	A
Garb_01G007960.1	14.395413	A	A
Garb_01G007970.1	11.167805	A	A
Garb_01G007980.1	0.400009	A	A
Garb_01G007990.1	2.440445	A	A
Garb_01G008000.1	1.792221	A	A
Garb_01G008010.1	4.810169	A	A
Garb_01G008020.1	0.036874	A	A
Garb_01G008030.1	6.580455	A	A
Garb_01G008040.1	0.000000	A	A
Garb_01G008050.1	0.672736	A	A
Garb_01G008060.1	136.590790	A	A
Garb_01G008070.1	2.457883	A	A
Garb_01G008080.1	0.0	A	A
Garb_01G008090.1	0.0	A	A
Garb_01G008100.1	2.874857	A	A
Garb_01G008110.1	5.666353	A	A
Garb_01G008120.1	29.716358	A	A
Garb_01G008130.1	0.0	A	A
Garb_01G008140.1	8.361068	A	A
Garb_01G008150.1	7.366350	A	A
Garb_01G008160.1	9.877161	A	A
Garb_01G008170.1	0.0	A	A
Garb_01G008180.1	0.0	A	A
